Index,X,Y,Type,CrossType
0,477.00,149.00,Agent,Straight
1,423.17,179.88,Turn,Straight
2,377.46,206.30,Turn,Straight
3,333.55,231.86,Turn,Straight
4,288.85,257.87,Turn,Straight
5,133.00,348.00,Agent,Straight
6,133.46,478.91,Agent,Straight
7,213.77,473.16,Agent,Straight
8,249.66,426.63,Turn,Straight
9,282.28,384.38,Agent,Straight
21,267.86,270.01,Crossing,Crossing-Over
10,263.56,235.83,Turn,Straight
22,309.71,245.73,Crossing,Crossing-Under
11,352.20,254.84,Turn,Straight
23,356.99,218.22,Crossing,Crossing-Over
12,360.78,189.18,Turn,Straight
24,398.23,194.30,Crossing,Crossing-Under
13,440.00,200.00,Turn,Straight
25,446.37,166.57,Crossing,Crossing-Over
14,450.64,144.15,Turn,Straight
15,139.00,243.00,Turn,Straight
16,81.00,372.00,Turn,Straight
26,133.08,370.26,Crossing,Crossing-Under
17,251.70,366.31,Turn,Straight
27,264.35,407.61,Crossing,Crossing-Over
18,279.75,457.92,Turn,Straight
28,235.53,444.96,Crossing,Crossing-Under
19,218.81,440.06,Turn,Straight
29,197.29,310.82,Crossing,Crossing-Over
30,183.63,228.84,Crossing,Crossing-Over
31,206.78,367.81,Crossing,Crossing-Over
20,170.00,147.00,Agent,Straight
