Index,X,Y,Type,CrossType
0,400.00,240.00,Agent,Straight
1,341.99,263.12,Turn,Straight
2,291.19,283.45,Turn,Straight
3,200.00,320.00,Agent,Straight
4,194.44,393.44,Agent,Straight
5,265.00,395.00,Agent,Straight
13,267.14,293.09,Crossing,Crossing-Over
6,267.63,269.57,Turn,Straight
14,314.40,274.16,Crossing,Crossing-Under
7,364.36,279.07,Turn,Straight
15,365.99,253.56,Crossing,Crossing-Over
8,368.00,222.00,Turn,Straight
9,166.00,222.00,Turn,Straight
10,159.38,348.44,Turn,Straight
16,197.72,350.18,Crossing,Crossing-Under
11,238.00,352.00,Turn,Straight
17,240.20,303.88,Crossing,Crossing-Over
18,243.95,222.00,Crossing,Crossing-Over
12,247.10,153.25,Agent,Straight
