Index,X,Y,Type,CrossType
0,80.00,146.00,Agent,Straight
1,158.04,245.65,Turn,Straight
2,193.13,287.69,Turn,Straight
3,228.63,330.78,Turn,Straight
4,295.00,415.00,Agent,Straight
5,388.00,417.00,Agent,Straight
6,399.00,209.00,Agent,Straight
7,160.00,204.00,Agent,Straight
17,149.14,234.29,Crossing,Crossing-Over
8,137.27,267.40,Turn,Straight
18,174.95,265.91,Crossing,Crossing-Under
9,212.62,264.42,Turn,Straight
19,211.69,310.21,Crossing,Crossing-Over
10,210.78,354.78,Turn,Straight
20,246.88,353.94,Crossing,Crossing-Under
11,330.00,352.00,Agent,Straight
21,328.66,415.72,Crossing,Crossing-Over
12,328.00,447.00,Turn,Straight
13,419.00,450.00,Turn,Straight
14,419.00,386.00,Turn,Straight
22,389.65,385.75,Crossing,Crossing-Under
23,329.30,385.25,Crossing,Crossing-Under
15,300.00,385.00,Turn,Straight
24,306.35,207.06,Crossing,Crossing-Over
25,301.15,352.67,Crossing,Crossing-Over
16,309.00,133.00,Agent,Straight
